lucro_total,staff_total,baltimore_pr_Sun,baltimore_hr_x_Sun,baltimore_hr_j_Sun,baltimore_pr_Mon,baltimore_hr_x_Mon,baltimore_hr_j_Mon,baltimore_pr_Tue,baltimore_hr_x_Tue,baltimore_hr_j_Tue,baltimore_pr_Wed,baltimore_hr_x_Wed,baltimore_hr_j_Wed,baltimore_pr_Thu,baltimore_hr_x_Thu,baltimore_hr_j_Thu,baltimore_pr_Fri,baltimore_hr_x_Fri,baltimore_hr_j_Fri,baltimore_pr_Sat,baltimore_hr_x_Sat,baltimore_hr_j_Sat,lancaster_pr_Sun,lancaster_hr_x_Sun,lancaster_hr_j_Sun,lancaster_pr_Mon,lancaster_hr_x_Mon,lancaster_hr_j_Mon,lancaster_pr_Tue,lancaster_hr_x_Tue,lancaster_hr_j_Tue,lancaster_pr_Wed,lancaster_hr_x_Wed,lancaster_hr_j_Wed,lancaster_pr_Thu,lancaster_hr_x_Thu,lancaster_hr_j_Thu,lancaster_pr_Fri,lancaster_hr_x_Fri,lancaster_hr_j_Fri,lancaster_pr_Sat,lancaster_hr_x_Sat,lancaster_hr_j_Sat,philadelphia_pr_Sun,philadelphia_hr_x_Sun,philadelphia_hr_j_Sun,philadelphia_pr_Mon,philadelphia_hr_x_Mon,philadelphia_hr_j_Mon,philadelphia_pr_Tue,philadelphia_hr_x_Tue,philadelphia_hr_j_Tue,philadelphia_pr_Wed,philadelphia_hr_x_Wed,philadelphia_hr_j_Wed,philadelphia_pr_Thu,philadelphia_hr_x_Thu,philadelphia_hr_j_Thu,philadelphia_pr_Fri,philadelphia_hr_x_Fri,philadelphia_hr_j_Fri,philadelphia_pr_Sat,philadelphia_hr_x_Sat,philadelphia_hr_j_Sat,richmond_pr_Sun,richmond_hr_x_Sun,richmond_hr_j_Sun,richmond_pr_Mon,richmond_hr_x_Mon,richmond_hr_j_Mon,richmond_pr_Tue,richmond_hr_x_Tue,richmond_hr_j_Tue,richmond_pr_Wed,richmond_hr_x_Wed,richmond_hr_j_Wed,richmond_pr_Thu,richmond_hr_x_Thu,richmond_hr_j_Thu,richmond_pr_Fri,richmond_hr_x_Fri,richmond_hr_j_Fri,richmond_pr_Sat,richmond_hr_x_Sat,richmond_hr_j_Sat
14035.0,86,0.0569,0,2,0.1106,1,0,0.0611,3,1,0.1029,1,2,0.076,2,1,0.0249,3,2,0.0084,2,2,0.1089,2,1,0.0684,2,2,0.0568,3,0,0.0709,2,1,0.0932,1,2,0.1172,2,1,0.0415,2,0,0.1073,3,1,0.0193,1,1,0.0059,2,1,0.1327,3,1,0.0068,2,1,0.0101,3,0,0.0397,1,1,0.1163,2,1,0.1221,1,0,0.0012,2,2,0.0938,1,1,0.0452,3,2,0.0972,1,1,0.0177,3,2
14035.0,86,0.0569,0,2,0.1106,1,0,0.0611,3,1,0.1029,1,2,0.076,2,1,0.0249,3,2,0.0084,2,2,0.1089,2,1,0.0684,2,2,0.0568,3,0,0.0709,2,1,0.0932,1,2,0.1172,2,1,0.0415,2,0,0.1073,3,1,0.0193,1,1,0.0059,2,1,0.1327,3,1,0.0068,2,1,0.0101,3,0,0.0397,1,1,0.1163,2,1,0.1221,1,0,0.0012,2,2,0.0938,1,1,0.0452,3,2,0.0972,1,1,0.0177,3,2
14035.0,86,0.0569,0,2,0.1106,1,0,0.0611,3,1,0.1029,1,2,0.076,2,1,0.0249,3,2,0.0084,2,2,0.1089,2,1,0.0684,2,2,0.0568,3,0,0.0709,2,1,0.0932,1,2,0.1172,2,1,0.0415,2,0,0.1073,3,1,0.0193,1,1,0.0059,2,1,0.1327,3,1,0.0068,2,1,0.0101,3,0,0.0397,1,1,0.1163,2,1,0.1221,1,0,0.0012,2,2,0.0938,1,1,0.0452,3,2,0.0972,1,1,0.0177,3,2
14035.0,86,0.0569,0,2,0.1106,1,0,0.0611,3,1,0.1029,1,2,0.076,2,1,0.0249,3,2,0.0084,2,2,0.1089,2,1,0.0684,2,2,0.0568,3,0,0.0709,2,1,0.0932,1,2,0.1172,2,1,0.0415,2,0,0.1073,3,1,0.0193,1,1,0.0059,2,1,0.1327,3,1,0.0068,2,1,0.0101,3,0,0.0397,1,1,0.1163,2,1,0.1221,1,0,0.0012,2,2,0.0938,1,1,0.0452,3,2,0.0972,1,1,0.0177,3,2
14035.0,86,0.0569,0,2,0.1106,1,0,0.0611,3,1,0.1029,1,2,0.076,2,1,0.0249,3,2,0.0084,2,2,0.1089,2,1,0.0684,2,2,0.0568,3,0,0.0709,2,1,0.0932,1,2,0.1172,2,1,0.0415,2,0,0.1073,3,1,0.0193,1,1,0.0059,2,1,0.1327,3,1,0.0068,2,1,0.0101,3,0,0.0397,1,1,0.1163,2,1,0.1221,1,0,0.0012,2,2,0.0938,1,1,0.0452,3,2,0.0972,1,1,0.0177,3,2
14035.0,86,0.0569,0,2,0.1106,1,0,0.0611,3,1,0.1029,1,2,0.076,2,1,0.0249,3,2,0.0084,2,2,0.1089,2,1,0.0684,2,2,0.0568,3,0,0.0709,2,1,0.0932,1,2,0.1172,2,1,0.0415,2,0,0.1073,3,1,0.0193,1,1,0.0059,2,1,0.1327,3,1,0.0068,2,1,0.0101,3,0,0.0397,1,1,0.1163,2,1,0.1221,1,0,0.0012,2,2,0.0938,1,1,0.0452,3,2,0.0972,1,1,0.0177,3,2
14035.0,86,0.0569,0,2,0.1106,1,0,0.0611,3,1,0.1029,1,2,0.076,2,1,0.0249,3,2,0.0084,2,2,0.1089,2,1,0.0684,2,2,0.0568,3,0,0.0709,2,1,0.0932,1,2,0.1172,2,1,0.0415,2,0,0.1073,3,1,0.0193,1,1,0.0059,2,1,0.1327,3,1,0.0068,2,1,0.0101,3,0,0.0397,1,1,0.1163,2,1,0.1221,1,0,0.0012,2,2,0.0938,1,1,0.0452,3,2,0.0972,1,1,0.0177,3,2
14035.0,86,0.0569,0,2,0.1106,1,0,0.0611,3,1,0.1029,1,2,0.076,2,1,0.0249,3,2,0.0084,2,2,0.1089,2,1,0.0684,2,2,0.0568,3,0,0.0709,2,1,0.0932,1,2,0.1172,2,1,0.0415,2,0,0.1073,3,1,0.0193,1,1,0.0059,2,1,0.1327,3,1,0.0068,2,1,0.0101,3,0,0.0397,1,1,0.1163,2,1,0.1221,1,0,0.0012,2,2,0.0938,1,1,0.0452,3,2,0.0972,1,1,0.0177,3,2
14035.0,86,0.0569,0,2,0.1106,1,0,0.0611,3,1,0.1029,1,2,0.076,2,1,0.0249,3,2,0.0084,2,2,0.1089,2,1,0.0684,2,2,0.0568,3,0,0.0709,2,1,0.0932,1,2,0.1172,2,1,0.0415,2,0,0.1073,3,1,0.0193,1,1,0.0059,2,1,0.1327,3,1,0.0068,2,1,0.0101,3,0,0.0397,1,1,0.1163,2,1,0.1221,1,0,0.0012,2,2,0.0938,1,1,0.0452,3,2,0.0972,1,1,0.0177,3,2
14035.0,86,0.0569,0,2,0.1106,1,0,0.0611,3,1,0.1029,1,2,0.076,2,1,0.0249,3,2,0.0084,2,2,0.1089,2,1,0.0684,2,2,0.0568,3,0,0.0709,2,1,0.0932,1,2,0.1172,2,1,0.0415,2,0,0.1073,3,1,0.0193,1,1,0.0059,2,1,0.1327,3,1,0.0068,2,1,0.0101,3,0,0.0397,1,1,0.1163,2,1,0.1221,1,0,0.0012,2,2,0.0938,1,1,0.0452,3,2,0.0972,1,1,0.0177,3,2
14035.0,86,0.0569,0,2,0.1106,1,0,0.0611,3,1,0.1029,1,2,0.076,2,1,0.0249,3,2,0.0084,2,2,0.1089,2,1,0.0684,2,2,0.0568,3,0,0.0709,2,1,0.0932,1,2,0.1172,2,1,0.0415,2,0,0.1073,3,1,0.0193,1,1,0.0059,2,1,0.1327,3,1,0.0068,2,1,0.0101,3,0,0.0397,1,1,0.1163,2,1,0.1221,1,0,0.0012,2,2,0.0938,1,1,0.0452,3,2,0.0972,1,1,0.0177,3,2
14035.0,86,0.0569,0,2,0.1106,1,0,0.0611,3,1,0.1029,1,2,0.076,2,1,0.0249,3,2,0.0084,2,2,0.1089,2,1,0.0684,2,2,0.0568,3,0,0.0709,2,1,0.0932,1,2,0.1172,2,1,0.0415,2,0,0.1073,3,1,0.0193,1,1,0.0059,2,1,0.1327,3,1,0.0068,2,1,0.0101,3,0,0.0397,1,1,0.1163,2,1,0.1221,1,0,0.0012,2,2,0.0938,1,1,0.0452,3,2,0.0972,1,1,0.0177,3,2
14035.0,86,0.0569,0,2,0.1106,1,0,0.0611,3,1,0.1029,1,2,0.076,2,1,0.0249,3,2,0.0084,2,2,0.1089,2,1,0.0684,2,2,0.0568,3,0,0.0709,2,1,0.0932,1,2,0.1172,2,1,0.0415,2,0,0.1073,3,1,0.0193,1,1,0.0059,2,1,0.1327,3,1,0.0068,2,1,0.0101,3,0,0.0397,1,1,0.1163,2,1,0.1221,1,0,0.0012,2,2,0.0938,1,1,0.0452,3,2,0.0972,1,1,0.0177,3,2
14035.0,86,0.0569,0,2,0.1106,1,0,0.0611,3,1,0.1029,1,2,0.076,2,1,0.0249,3,2,0.0084,2,2,0.1089,2,1,0.0684,2,2,0.0568,3,0,0.0709,2,1,0.0932,1,2,0.1172,2,1,0.0415,2,0,0.1073,3,1,0.0193,1,1,0.0059,2,1,0.1327,3,1,0.0068,2,1,0.0101,3,0,0.0397,1,1,0.1163,2,1,0.1221,1,0,0.0012,2,2,0.0938,1,1,0.0452,3,2,0.0972,1,1,0.0177,3,2
14035.0,86,0.0569,0,2,0.1106,1,0,0.0611,3,1,0.1029,1,2,0.076,2,1,0.0249,3,2,0.0084,2,2,0.1089,2,1,0.0684,2,2,0.0568,3,0,0.0709,2,1,0.0932,1,2,0.1172,2,1,0.0415,2,0,0.1073,3,1,0.0193,1,1,0.0059,2,1,0.1327,3,1,0.0068,2,1,0.0101,3,0,0.0397,1,1,0.1163,2,1,0.1221,1,0,0.0012,2,2,0.0938,1,1,0.0452,3,2,0.0972,1,1,0.0177,3,2
