lucro_total,staff_total,baltimore_pr_Sun,baltimore_hr_x_Sun,baltimore_hr_j_Sun,baltimore_pr_Mon,baltimore_hr_x_Mon,baltimore_hr_j_Mon,baltimore_pr_Tue,baltimore_hr_x_Tue,baltimore_hr_j_Tue,baltimore_pr_Wed,baltimore_hr_x_Wed,baltimore_hr_j_Wed,baltimore_pr_Thu,baltimore_hr_x_Thu,baltimore_hr_j_Thu,baltimore_pr_Fri,baltimore_hr_x_Fri,baltimore_hr_j_Fri,baltimore_pr_Sat,baltimore_hr_x_Sat,baltimore_hr_j_Sat,lancaster_pr_Sun,lancaster_hr_x_Sun,lancaster_hr_j_Sun,lancaster_pr_Mon,lancaster_hr_x_Mon,lancaster_hr_j_Mon,lancaster_pr_Tue,lancaster_hr_x_Tue,lancaster_hr_j_Tue,lancaster_pr_Wed,lancaster_hr_x_Wed,lancaster_hr_j_Wed,lancaster_pr_Thu,lancaster_hr_x_Thu,lancaster_hr_j_Thu,lancaster_pr_Fri,lancaster_hr_x_Fri,lancaster_hr_j_Fri,lancaster_pr_Sat,lancaster_hr_x_Sat,lancaster_hr_j_Sat,philadelphia_pr_Sun,philadelphia_hr_x_Sun,philadelphia_hr_j_Sun,philadelphia_pr_Mon,philadelphia_hr_x_Mon,philadelphia_hr_j_Mon,philadelphia_pr_Tue,philadelphia_hr_x_Tue,philadelphia_hr_j_Tue,philadelphia_pr_Wed,philadelphia_hr_x_Wed,philadelphia_hr_j_Wed,philadelphia_pr_Thu,philadelphia_hr_x_Thu,philadelphia_hr_j_Thu,philadelphia_pr_Fri,philadelphia_hr_x_Fri,philadelphia_hr_j_Fri,philadelphia_pr_Sat,philadelphia_hr_x_Sat,philadelphia_hr_j_Sat,richmond_pr_Sun,richmond_hr_x_Sun,richmond_hr_j_Sun,richmond_pr_Mon,richmond_hr_x_Mon,richmond_hr_j_Mon,richmond_pr_Tue,richmond_hr_x_Tue,richmond_hr_j_Tue,richmond_pr_Wed,richmond_hr_x_Wed,richmond_hr_j_Wed,richmond_pr_Thu,richmond_hr_x_Thu,richmond_hr_j_Thu,richmond_pr_Fri,richmond_hr_x_Fri,richmond_hr_j_Fri,richmond_pr_Sat,richmond_hr_x_Sat,richmond_hr_j_Sat
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
17185.0,86,0.1339,0,0,0.0365,2,1,0.1218,1,1,0.0108,2,1,0.0088,3,1,0.1092,0,2,0.0339,1,1,0.0486,2,2,0.0373,3,2,0.1141,2,1,0.0686,3,0,0.1468,2,1,0.0331,2,2,0.1158,3,2,0.0956,0,2,0.073,2,1,0.0326,1,2,0.0012,2,0,0.1443,3,2,0.0887,2,2,0.045,1,0,0.048,3,1,0.1332,0,1,0.0757,3,3,0.0034,0,2,0.0915,2,1,0.0415,2,0,0.082,3,2
