lucro,staff,desconto_medio,pr_Sun,hr_x_Sun,hr_j_Sun,pr_Mon,hr_x_Mon,hr_j_Mon,pr_Tue,hr_x_Tue,hr_j_Tue,pr_Wed,hr_x_Wed,hr_j_Wed,pr_Thu,hr_x_Thu,hr_j_Thu,pr_Fri,hr_x_Fri,hr_j_Fri,pr_Sat,hr_x_Sat,hr_j_Sat
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
75310.0,75.0,14.680000000000001,0.0365,7,3,0.1609,2,7,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
74805.0,74.0,14.7,0.0365,7,3,0.1622,2,6,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
74805.0,74.0,14.7,0.0365,7,3,0.1622,2,6,0.1042,5,3,0.215,5,6,0.2573,7,3,0.2157,8,5,0.0381,4,10
54010.0,59.0,16.6,0.007,7,3,0.2063,2,6,0.0859,5,2,0.215,5,6,0.2598,7,3,0.2659,5,2,0.1224,2,4
